,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
34,sample_data_parallel_adult-VGAN-norm-b-1_sex_3.csv,0.029,-0.021,0.172,0.292,0.141,0.608,0.583,0.804,0.73
35,sample_data_parallel_adult-VGAN-norm-b-25_sex_1.csv,0.341,-0.316,0.063,0.154,0.118,0.605,0.672,0.81,0.764
36,sample_data_parallel_adult-VGAN-norm-b-25_sex_2.csv,0.31,-0.263,0.074,0.161,0.126,0.616,0.633,0.811,0.752
37,sample_data_parallel_adult-VGAN-norm-b-25_sex_3.csv,0.294,-0.267,0.071,0.154,0.122,0.596,0.662,0.805,0.757
38,sample_data_parallel_adult-VGAN-norm-b-50_sex_1.csv,0.276,-0.278,0.082,0.182,0.114,0.571,0.704,0.796,0.765
39,sample_data_parallel_adult-VGAN-norm-b-50_sex_2.csv,0.488,-0.477,-0.001,0.075,0.116,0.614,0.682,0.815,0.77
40,sample_data_parallel_adult-VGAN-norm-b-50_sex_3.csv,0.409,-0.459,0.018,0.111,0.109,0.562,0.738,0.793,0.775
41,sample_data_parallel_adult-VGAN-ordi-norm-b-0_sex_1.csv,0.191,-0.069,0.057,0.091,0.197,0.703,0.319,0.798,0.637
42,sample_data_parallel_adult-VGAN-ordi-norm-b-0_sex_2.csv,0.337,-0.248,0.018,0.042,0.15,0.607,0.536,0.799,0.711
43,sample_data_parallel_adult-WGAN-norm-b-0_sex_2.csv,0.089,-0.053,0.15,0.268,0.157,0.65,0.499,0.809,0.705
44,sample_data_parallel_adult-WGAN-norm-b-0_sex_3.csv,0.028,-0.019,0.171,0.294,0.148,0.622,0.548,0.806,0.719
45,sample_data_parallel_adult-VGAN-ordi-norm-b-0_sex_3.csv,0.155,-0.063,0.056,0.08,0.191,0.685,0.345,0.799,0.647
46,sample_data_parallel_adult-VGAN-gmm-b-1_sex_1.csv,0.028,-0.026,0.133,0.192,0.123,0.544,0.674,0.78,0.744
47,sample_data_parallel_adult-VGAN-gmm-b-1_sex_2.csv,0.013,0.01,0.156,0.228,0.127,0.565,0.657,0.79,0.745
48,sample_data_parallel_adult-VGAN-gmm-b-1_sex_3.csv,0.042,-0.041,0.126,0.183,0.123,0.531,0.688,0.772,0.744
49,sample_data_parallel_adult-VGAN-ordi-gmm-b-0_sex_1.csv,0.055,0.056,0.12,0.114,0.116,0.533,0.713,0.774,0.754
50,sample_data_parallel_adult-VGAN-ordi-gmm-b-0_sex_2.csv,0.041,-0.038,0.1,0.115,0.124,0.556,0.676,0.786,0.749
51,sample_data_parallel_adult-VGAN-ordi-gmm-b-0_sex_3.csv,0.01,0.006,0.108,0.113,0.127,0.579,0.651,0.796,0.747
52,sample_data_parallel_adult-WGAN-norm-b-1_sex_1.csv,0.094,-0.059,0.149,0.269,0.156,0.625,0.514,0.803,0.706
53,sample_data_parallel_adult-VGAN-gmm-b-10_sex_1.csv,0.004,-0.003,0.137,0.185,0.116,0.52,0.717,0.766,0.749
