,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,DI_sem,Stat Par_sem,Avg Odds_sem,Eq Opp_sem,Theil_sem,prec_sem,rec_sem,acc_sem,bal_acc_sem
VGAN-ordi-norm-b-100_sex,0.8116666666666666,-1.2536666666666667,-0.38266666666666665,-0.46900000000000003,0.09766666666666667,0.5206666666666667,0.8016666666666667,0.7680000000000001,0.7793333333333333,0.016045075395411616,0.04790383886264002,0.02194184232110978,0.03023794525647094,0.0026666666666666644,0.0049103066208854166,0.013220354676701272,0.0035118845842842493,0.0032829526005986828
VGAN-ordi-norm-b-10_sex,0.8421666666666666,-1.2343333333333335,-0.391,-0.49,0.10866666666666668,0.5236666666666667,0.7548333333333334,0.7691666666666667,0.7643333333333334,0.00479177536108603,0.032290005333608165,0.009099450532861863,0.007150757535627498,0.0021858128414340024,0.0038787168554103627,0.01020920064342835,0.002522124325070269,0.0027527763762750144
VGAN-ordi-norm-b-1_sex,0.25966666666666666,-0.19200000000000003,0.03,0.04066666666666666,0.147,0.6073333333333334,0.5473333333333333,0.7986666666666666,0.7143333333333333,0.005174724898753345,0.021221058723196014,0.014730919862656235,0.030118285328204052,0.005686240703077331,0.02234079477348807,0.034065296776109935,0.004702245326555323,0.008412952976082652
VGAN-ordi-norm-b-25_sex,0.848,-1.2963333333333333,-0.399,-0.48233333333333334,0.10266666666666667,0.5246666666666666,0.7803333333333334,0.7663333333333333,0.771,0.025423086620891135,0.12724560677856211,0.039153543900903774,0.05789166126865287,0.007512951779723097,0.028262656948308623,0.04213602312089317,0.01753409377311653,0.0030550504633038962
VGAN-ordi-norm-b-50_sex,0.867,-1.2166666666666668,-0.39866666666666667,-0.5196666666666666,0.10933333333333334,0.5453333333333333,0.7433333333333333,0.7826666666666666,0.7693333333333333,0.02205296654269749,0.0706171209960997,0.030769754269050948,0.040915902912084315,0.0020275875100994076,0.006064468466220107,0.009769567259835238,0.003480102169636854,0.00266666666666666
WGAN-gmm-b-0_sex,0.01,0.010333333333333333,0.139,0.18366666666666667,0.11666666666666665,0.51,0.7313333333333333,0.759,0.7496666666666667,0.003785938897200183,0.0037564758898615486,0.0032145502536643166,0.008685876147196922,0.002403700850309325,0.008082903768654769,0.01377598554651457,0.005567764362830021,0.0018559214542766722
WGAN-gmm-b-100_sex,0.29666666666666663,-0.38000000000000006,0.016333333333333335,0.068,0.10233333333333333,0.5166666666666667,0.7879999999999999,0.765,0.7726666666666667,0.06322534653479128,0.09913626985114987,0.03464261986500316,0.037581023580170535,0.003711842908553347,0.0034801021696368776,0.018147543451754903,0.0023094010767585054,0.004666666666666662
WGAN-gmm-b-1_sex,0.033,0.032,0.15166666666666664,0.204,0.11633333333333333,0.5143333333333334,0.7296666666666667,0.762,0.7513333333333333,0.014000000000000002,0.02042057785666214,0.0014529663145135614,0.0069282032302755,0.0012018504251546619,0.00788106027835795,0.007218802609235919,0.0050332229568471705,0.001452966314513568
WGAN-gmm-b-25_sex,0.06833333333333334,-0.037333333333333336,0.11666666666666665,0.15066666666666667,0.11,0.5066666666666667,0.7536666666666667,0.7563333333333334,0.7556666666666666,0.021697414080433134,0.05946801194292984,0.020915172589401326,0.025569078547686804,0.0045092497528228925,0.01257422407590669,0.02567315935195963,0.009207484877955424,0.006009252125773297
WGAN-gmm-b-50_sex,0.26,-0.33899999999999997,0.024333333333333332,0.06833333333333334,0.10066666666666667,0.5023333333333334,0.802,0.7543333333333333,0.7703333333333333,0.034044089061098404,0.0528141395209023,0.015677301355073132,0.014518187826921714,0.0021858128414339976,0.0028480012484391887,0.011015141094572167,0.002333333333333345,0.0021858128414339816
WGAN-norm-b-0_sex,0.07166666666666667,-0.04733333333333334,0.15466666666666665,0.27166666666666667,0.15066666666666664,0.6246666666666667,0.5356666666666667,0.8046666666666668,0.7143333333333333,0.02198737011205398,0.014992590762699346,0.008412952976082647,0.011976829482147781,0.0031797973380564893,0.013920408678547415,0.018657735958875397,0.0029627314724385307,0.004666666666666676
WGAN-norm-b-100_sex,0.6236666666666667,-0.8103333333333333,-0.137,-0.09766666666666667,0.10166666666666667,0.5576666666666666,0.7733333333333334,0.7920000000000001,0.7856666666666667,0.05793770601066095,0.1061764778302824,0.041137979208188305,0.04816753171080195,0.0026034165586355466,0.005696002496878331,0.012467736139510074,0.0030000000000000027,0.002666666666666674
WGAN-norm-b-10_sex,0.2856666666666667,-0.30033333333333334,0.06233333333333333,0.14666666666666667,0.11766666666666666,0.5546666666666668,0.7086666666666667,0.7866666666666667,0.761,0.0394982418736722,0.046239713570816084,0.016954186634706027,0.020755186768077465,0.0027284509239574816,0.008969082698049094,0.009492687243932114,0.00523874454850055,0.0051961524227066526
WGAN-norm-b-1_sex,0.09266666666666667,-0.063,0.14633333333333334,0.255,0.146,0.6113333333333334,0.561,0.8026666666666668,0.7216666666666667,0.04157456487378364,0.038157568056677825,0.014495209936772606,0.02247962040011649,0.007211102550927974,0.007310570733153797,0.03080584360149871,0.0026034165586355682,0.011464922347946601
WGAN-norm-b-25_sex,0.5,-0.625,-0.059666666666666666,0.0,0.10266666666666667,0.5493333333333333,0.773,0.7866666666666667,0.782,0.013453624047073724,0.04842864166310398,0.014051492605571992,0.014153915830374765,0.0055477723256977494,0.00669161996662824,0.027073972741361738,0.0033829638550307525,0.00763762615825974
WGAN-norm-b-50_sex,0.5536666666666666,-0.684,-0.082,-0.024999999999999998,0.10333333333333333,0.5593333333333333,0.7653333333333334,0.7916666666666666,0.783,0.01186498115370509,0.02987194893764605,0.008544003745317531,0.00818535277187245,0.002333333333333331,0.014745997573729755,0.016169243780846554,0.008006941432976205,0.0015275252316519362
