,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,var
67,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_1_97_0.csv,0.732,-0.551658259,-0.122844419,-0.156044468,0.145733734,0.683,0.531,0.823,0.725,0.781828775
68,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_1_98_0.csv,0.675,-0.580241886,-0.116624871,-0.134518797,0.13439247,0.642,0.583,0.816,0.738,0.782677856
69,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_1_99_0.csv,0.706,-0.531424885,-0.11254094,-0.144765329,0.142461218,0.691,0.542,0.826,0.731,0.783680875
70,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_2_90_0.csv,0.5,-0.320994416,-0.028812347,-0.025168167,0.162323595,0.651,0.473,0.807,0.695,0.870740814
71,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_2_91_0.csv,0.659,-0.572130476,-0.110460821,-0.121487986,0.137826078,0.63,0.582,0.812,0.735,0.886914724
72,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_2_92_0.csv,0.486,-0.338245853,-0.002698658,0.042064182,0.158022695,0.633,0.501,0.805,0.703,0.856351975
73,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_2_93_0.csv,0.369,-0.275698582,0.022416937,0.062752155,0.147268955,0.618,0.548,0.804,0.718,0.885574251
74,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_2_94_0.csv,0.514,-0.358870519,-0.028126445,-0.009419419,0.156078636,0.636,0.5,0.805,0.703,0.878964957
75,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_2_95_0.csv,0.508,-0.382799128,-0.026257761,-0.006788753,0.141374869,0.648,0.551,0.815,0.726,0.883568577
76,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_2_96_0.csv,0.505,-0.392367795,-0.010901075,0.034133039,0.141301418,0.639,0.56,0.813,0.728,0.867611319
77,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_2_97_0.csv,0.569,-0.471095713,-0.039652491,0.00875294,0.144752765,0.61,0.556,0.802,0.719,0.865840763
78,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_2_98_0.csv,0.434,-0.321474774,0.02849895,0.098326137,0.144991726,0.636,0.546,0.81,0.721,0.876321393
79,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_2_99_0.csv,0.489,-0.348468349,-0.034373863,-0.032679973,0.15501819,0.634,0.514,0.806,0.708,0.870634676
80,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_0_8_0.csv,0.866,-0.240069604,-0.074905048,-0.113215672,0.226687434,0.73,0.197,0.783,0.587,0.836284653
81,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_1_8_0.csv,0.601,-0.263464088,-0.015458374,0.008040214,0.193045453,0.705,0.336,0.801,0.645,0.945200571
82,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_2_8_0.csv,0.799,-0.174685499,-0.067169969,-0.108801715,0.245927878,0.631,0.138,0.767,0.556,0.809501677
83,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_3_8_0.csv,0.845,-0.292440281,-0.098357712,-0.16232597,0.20904659,0.768,0.262,0.798,0.618,0.802265495
84,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_4_8_0.csv,0.424,-0.098119746,0.013130893,0.029897055,0.227772837,0.728,0.196,0.783,0.586,0.86357481
85,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_0_6_0.csv,0.643,-0.3705198966788997,-0.0897798864162058,-0.0778360915809165,0.2293418048703824,0.432,0.266,0.731,0.575,0.7715338288817335
86,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_0_7_0.csv,0.901,-0.9586931397341684,-0.3550307208027794,-0.5091436737862421,0.1478937634438197,0.561,0.573,0.783,0.713,0.8055353385842544
87,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_10_6_0.csv,0.404,-0.2464955392552368,-0.0144811142514427,-0.0205330909959951,0.168429642562583,0.633,0.453,0.799,0.683,0.8223639218612537
88,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_10_7_0.csv,0.515,-0.2806588698600866,-0.0553349721575948,-0.0717649114508867,0.1987025103154961,0.569,0.349,0.773,0.631,0.8582661398987929
